Montag,;04.05.2015;9 Uhr;17;2;
;;11 Uhr;39;4;
;;13 Uhr;31;3;
;;15 Uhr;29;3;
;;17 Uhr;34;3;
;;19 Uhr;21;0;
;;;;;
Dienstag,;05.05.2015;9 Uhr;24;5;
;;11 Uhr;27;5;
;;13 Uhr;42;8;
;;15 Uhr;45;6;
;;17 Uhr;20;4;
;;19 Uhr;9;1;
;;;;;
Mittwoch,;06.05.2015;9 Uhr;14;3;2
;;11 Uhr;33;6;3
;;13 Uhr;30;2;1
;;15 Uhr;39;6;2
;;17 Uhr;40;2;1
;;19 Uhr;15;0;0
;;;;;
Donnerstag,;07.05.2015;9 Uhr;15;1;
;;11 Uhr;26;1;
;;13 Uhr;27;1;
;;15 Uhr;26;3;
;;17 Uhr;20;2;
;;19 Uhr;8;0;
;;;;;
Freitag,;08.05.2015;9 Uhr;13;0;
;;11 Uhr;22;2;
;;13 Uhr;20;2;
;;15 Uhr;25;4;
;;17 Uhr;18;2;
;;19 Uhr;4;0;
;;;;;
Samstag,;09.05.2015;9 Uhr;0;0;0
;;11 Uhr;37;4;2
;;13 Uhr;39;5;2
;;15 Uhr;30;4;2
;;17 Uhr;0;0;
;;19 Uhr;0;0;
;;;;;
Montag,;11.05.2015;9 Uhr;20;5;
;;11 Uhr;55;10;
;;13 Uhr;40;8;
;;15 Uhr;38;9;
;;17 Uhr;34;4;
;;19 Uhr;30;2;
;;;;;
Dienstag,;12.05.2015;9 Uhr;23;6;
;;11 Uhr;27;10;
;;13 Uhr;39;10;
;;15 Uhr;49;11;
;;17 Uhr;35;7;
;;19 Uhr;14;0;
;;;;;
Mittwoch,;13.05.2015;9 Uhr;17;4;3
;;11 Uhr;29;6;2
;;13 Uhr;38;7;3
;;15 Uhr;38;9;3
;;17 Uhr;32;8;3
;;19 Uhr;0;0;
;;;;;
Freitag,;15.05.2015;9 Uhr;14;1;
;;11 Uhr;38;3;
;;13 Uhr;36;5;2
;;15 Uhr;30;2;1
;;17 Uhr;18;0;
;;19 Uhr;16;0;
;;;;;
Samstag,;16.05.2015;9 Uhr;0;0;
;;11 Uhr;29;1;
;;13 Uhr;35;6;
;;15 Uhr;36;6;
;;17 Uhr;0;0;
;;19 Uhr;0;0;
;;;;;
Montag,;18.05.2015;9 Uhr;14;2;
;;11 Uhr;41;9;
;;13 Uhr;44;7;
;;15 Uhr;43;6;
;;17 Uhr;36;1;
;;19 Uhr;12;1;
;;;;;
Dienstag,;19.05.2015;9 Uhr;15;2;
;;11 Uhr;30;5;
;;13 Uhr;39;4;
;;15 Uhr;36;6;
;;17 Uhr;24;6;
;;19 Uhr;16;6;
;;;;;
Mittwoch,;20.05.2015;9 Uhr;19;2;1
;;11 Uhr;40;4;2
;;13 Uhr;38;4;2
;;15 Uhr;46;11;3
;;17 Uhr;35;10;3
;;19 Uhr;12;3;1
;;;;;
Donnerstag,;21.05.2015;9 Uhr;13;0;
;;11 Uhr;32;2;
;;13 Uhr;22;2;
;;15 Uhr;27;2;
;;17 Uhr;30;2;
;;19 Uhr;14;4;
;;;;;
Freitag,;22.05.2015;9 Uhr;11;1;
;;11 Uhr;22;3;
;;13 Uhr;13;3;
;;15 Uhr;21;0;
;;17 Uhr;18;0;
;;19 Uhr;4;0;
;;;;;
Samstag,;23.05.2015;9 Uhr;14;0;
;;11 Uhr;30;0;
;;13 Uhr;35;0;
;;15 Uhr;40;3;
;;17 Uhr;0;0;
